[Species]	[Gender]	[Name]	[Surname]	[ID Number]	[Birthday]	[Birthplace]	[Occupation]	[Orientation]	[Role]	[Position]	[Height/Length (Cm)]	[Weight/Mass (Kg)]	[Penis/Vulva Max (Cm)]	[Font Color]	[English/Japanese Voice]	[Characteristic]	[MBTI]	[Loves]	[Hates]	[Description]	[HP]	[AT]	[DF]	[SA]	[SD]	[SP]	[LV]	[Type]	[Hidden Power]	[Nature]	[Items]	[Moves]	[Finisher]	[Ability]	[Rare Quality]	[Enlightenment]	[Strength]	[Weakness]	[Connections]
Rockruff Lycanroc	Female			P39870140	19/10/1981																85	115	75	55	75	85	0	Rock	Dark	Serious	Obsidian Shard: +1 Crit chance if held by Lycanroc ~ Yellow Flute: Cures Confusion	Accelerock (50/AT/Rock) +1 Priority ~ Stone Edge (100/AT/Rock) +1 Crit chance ~ Stealth Rock (Rock) Hurts foes on switch-in ~ Taunt (Dark) Foe can't use status moves for 3 turns	None	Vital Spirit: Immune to sleep	Notorious Restoration: Items restore more HP and Belly.	Helium Gene: Can be activated any time, 2X SA	Will fight dirty on a whim.	Bad type matchups.	
Rockruff Lycanroc	Male	Fenrir		P83359197	24/09/1979																75	115	65	55	65	115	0	Rock	Fighting	Docile	Lycanium Z: Turns Stone Edge into Splintered Stormshards	Accelerock (50/AT/Rock) +1 Priority ~ Stone Edge (100/AT/Rock) +1 Crit chance ~ Rock Tomb (60/AT/Rock) -1 SP to foe ~ Counter (Parry/Fighting) Returns 2X damage	None	Sand Rush: 2X SP in Sandstorms	Notorious Healing: The rate at which HP restores naturally is sped up. 	Oxygen Gene: Can be activated any time, 2X AT	Loyal like a doggo.	Bad type matchups.	
Rowlet Dartrix Decidueye	Male			P56327696	19/07/1978																80	105	80	100	95	80	0	Grass Ghost Flying	Electric	Jolly	Decidium Z: Turns Spirit Shackle into Sinister Arrow Raid	Spirit Shackle (80/AT/Ghost) Prevents foe from changing position ~ Razor Leaf (55/AT/Grass) +1 Crit chance, hits all foes ~ Sky Attack (140/AT/Flying) 1 turn charge, 30% Flinch chance, +1 Crit chance	None	Long Reach: Physical moves become long range and don't make contact	Thrown Item Boost: Items thrown from the team are uncatchable and do increased damage.	Precisi0n: Team attacks are replaced with Snipe: Weaker, but never misses	Exceptional sniper, hits foes from way far back so they don't have a chance to counter.	Surprisingly slow, tends to never look behind him despite being a birb.	
Rufflet Braviary	Male			H52755645	01/12/1976	WOD, USA, Washington, Seattle															90	173	65	45	65	70	0	Normal Flying	Dragon	Adamant	Bottle Caps (15): Temporarily boosts a stat depending on Species ~ Flynium Z: Turns a Flying move into Supersonic Skystrike	Sky Attack (140/AT/Flying) 1 turn charge, 30% Flinch chance, +1 Crit chance ~ Giga Impact (150/AT/Normal) 1 turn recharge ~ Brave Bird (120/AT/Flying) 33% Recoil ~ Outrage (120/AT/Dragon) Lasts 2-3 turns, Confuses user 	None	Sheer Force: +30% Damage, removes all move effects	Riled Up: Boosts AT and SA once when hit by an enemy.	None	MURICA	FUCK YEAH	
Sableye	Male			P74162161	01/07/2009		Butler														60	90	100	70	80	50	0	Dark Ghost	Grass	Careful	Gem Case: Holds one-time type boosting Gems ~ Light Clay: Barriers don't expire	Punishment (60/AT/Dark) +20 power for of the foe's stat boosts ~ Hone Claws (Dark) +1 AT and AC ~ Counter (Parry/Fighting) Returns 2X damage ~ Confuse Ray (Ghost) Causes confusion	None	Keen Eye: AC can't be lowered, ignores foe's EV	Notorious Healing: The rate at which HP restores naturally is sped up. 	Megaevolution: Form Change Enlightenment	The butler is always the culprit, exceptional revenge killer that counters aggressive foes.	Fire types, setups.	
Salandit Salazzle	Female			P71035848	20/08/1987																68	64	62	111	60	122	0	Poison Fire	Flying	Mild	Carubyncle: Red gem slotted in her back, grants eternal youth.  ~ Heart Pendant: Boosts HP by 50%	Nasty Plot (Dark) +2 SA ~  Fire Blast (110/SA/Fire) 10% Burn Chance, might miss ~ Attract (Normal) Causes Infatuation to opposite gender ~ Venoshock (65/SA/Poison) 2X Power if foe is poisoned	None	Corrosion: Bypasses types and abilities when inflicting poison	Friendly: Foes have a chance of temporarily fighting for the team. Doesn't boost recruit chance.	Harem: Team is immune to Infatuation and Charm from foes	Horrifying ability and finisher, can control foes's breathing to make them submit in seconds.	Priority Revenge sweepers cripple her hard.	
Sandile Krokorok Krookodile	Male			H18637555	29/03/1997																90	120	80	65	70	100	0	Ground Dark	Psychic	Jolly	Weakness Policy: +2 AT and SA if holder is hit by a Super Effective move	Earthquake (100/AT/Ground) hits all foes, 2X damage on digging foes ~ Beat Up (30/AT/Dark) Hits as many times as the user's party size ~ Power Trip (20/AT/Dark) +20 power for each stat raise ~ Stomping Tantrum (75/AT/Ground) 2X Power if last move failed	None	Anger Point: AT locked at +6 if user gets hit by a Crit.	Lonely Courage: When a Pokémon has no nearby teammates, it gets very strong.	None	Whatever you do, do NOT crit him.	Or do, if you're 100% sure you can down him in 1 hit.	
Sandshrew Sandslash	Female	Kenkyo	Kaze	P38673020	20/03/1997	WOL, Sand Continent	Sand Continent Guard	Bi	Switch	Bottom	105	46	25	Diavlo #c0b025	Julia McIlvaine/Hitomi Nabatame	Good endurance	ISFJ	Sandslashes, Sleeping, Fighting	Her quills and how they prevent her from sleeping.	Slightly more red, blue eyes.	75	100	110	45	55	65	48	Ground Steel	Normal	Impish	Bond Ring: Doubles HP of another Pokemon holding Bond Ring.	Earthquake (100/AT/Ground) hits all foes, 2X damage on digging foes ~ Knock Off (65/Dark/AT) 1.5x damage if foe has item, removes item ~ Rapid Spin (20/AT/Normal) Removes stage hazards, binding, and seeds ~ Stealth Rock (Rock) Deals damage on switch in	None	Sand Rush: 2X SP in Sandstorms	Bargain: Items can be bought at a lower price from shops.	None	Loves fighting, and will be a great arm in any team.	Can't use her quills to defend herself efficiently.	Husband: Hokori Kaze
Sandshrew Sandslash (Alola)	Male	Hokori	Kaze	P13356248	04/03/1999	WOL, Sand Continent	Sand Continent Guard	Bi	Switch	Top	134	60	23	Dekar #259dc0	John Snyder/Daisuke Ono	Good perseverance	ISTJ	Sandslashes, Eating, Humans	That he likes eating and how he gets too fat.	Slightly more purple, blue eyes.	75	100	120	25	65	65	51	Ice Steel	Normal	Impish	Bond Ring: Doubles HP of another Pokemon holding Bond Ring.	Swords Dance (Normal) +2 AT ~ Knock Off (65/Dark/AT) 1.5x damage if foe has item, removes item ~ Icicle Crash (85/AT/Ice) 30% Flinch Change ~ Iron Head (80/AT/Steel) 30% Flinch Chance	None	Slush Rush: 2X SP in Hails	Bargain: Items can be bought at a lower price from shops.	None	Loves fighting, and will be a great arm in any team.	Can't use his quills to defend herself efficiently.	Wife: Kenkyo Kaze
Scraggy Scrafty	Male			P12125803	08/06/1976																65	90	115	45	115	58	0	Dark Fighting	Rock	Relaxed	Amulet Coin: 2X Poke'	Facade (70/AT/Normal) 2X power if user has status condition ~ Bulk Up (Fighting) +1 AT and DF ~ Throat Chop (80/AT/Dark) Foe can't use sound, shockwave, and vibration moves ~ Low Kick (AT/Fighting) Uses foe's weight for damage calculation	None	Moxie: +1 AT for each foe defeated	Army Of Two: If there's only one teammate, that teammate gets a big stat boost.	None	Setup striker with uncommon, unpredictable moves and strategies.	Slow, can't handle some type matchups too well.	
Sentret Furret	Female			P79916007	28/02/1986																85	75	64	45	55	100	0	Normal	Flying	Naive	Fluffy Tail: Distracts Pokemon	Return (AT/Normal) Uses Love for damage calculation ~ Me First (Normal) If user is faster, copies foe's move with +50% damage ~ Fury Swipes (20/AT/Normal) Hits 2-5 times ~ Bounce (85/AT/Flying) Flies one turn, 30% Paralysis chance	None	Run Away: Immune to trapped, +6 SP while not fighting	Rapid Bullseye: Moves that hit multiple times will never miss. 	None	She walk.	She gets sweeped hard.	
Seviper	Male			P50282773	07/02/1980																75	100	60	100	60	70	0	Poison	Water	Lax	Binding Band: Increases trap damage	Poison Tail (50/AT/Poison) +1 Crit chance, poisons foe ~ Wrap (15/AT/Normal) Traps and damages for 4-5 turns ~ Giga Drain (75/SA/Grass) Heals 50% damage ~ Coil (Poison) +1 AT, DF, AC	None	Infiltrator: Ignores Substitutes and Barriers	Mind Over Matter: Wonder tiles restore a bit of HP and heal status conditions.	None	Poisons and traps, slowly wears down wallers.	Special sweepers, other poison types.	
Sewaddle Swadloon Leavanny	Female			P32247060	24/06/1988																75	105	80	70	80	95	0	Bug Grass	Psychic	Lax	Mental Herb: Immune to Infatuation	Sticky Web (Bug) -1 SP to foes on switch-in ~ X-Scissor (80/AT/Bug) ~ Leaf Blade (90/AT/Grass) +1 Crit chance ~ Fell Stinger (50/AT/Bug) +3 AT to user if foe is fainted by this move	None	Overcoat: Immune to powders and weather	Notorious Fasting: The team won't take damage from hunger, but will still be unable to heal.	None	Tricks Dark types and Water types into focusing on her.	Flying types, Taunt users, items...	
Shaymin	Male			P25895495	24/08/1989																50	120	120	120	120	100	0	Grass Flying	Fairy	Timid	Focus Sash: Resists OHKO's with 1 HP left. ~ Sky Gift Wrapper: Creates Sky Gift Boxes, which spawn rare items, but only when gifted to a close friend ~ Gracidea: Triggers Sky Forme	Seed Flare (120/SA/Grass) 50% -2 SD to foe, might miss ~ Tailwind (Flying) 2X SP to teammates for 5 turns~ Sky Attack (140/AT/Flying) 1 turn charge, 30% flinch chance, +1 Crit chance ~ Synthesis (Grass) Heals user by weather dependent amount	Radiant Solar Flare (400/SA/Grass Fire) 1 turn charge, team is immune to status conditions for 5 turns	Natural Cure: Heals all status conditions on switch	Leap Ahead: Pokemon behind the leader can leap ahead, use a short range move, and hop back behind in one turn.	Sky Forme: Form Change Enlightenment	Exceptional and wholesome Explorer, his Sky Forme makes him and his whole team nearly unstoppable.	Uh.... Ho-Oh? Maybe?	
Shinx Luxio Luxray	Female	Sirius	Chronos	P16677907	26/11/1989	WOL, Grass Continent	Chronos Officer	Hetero	Sub	Bottom	120	35	42	Garamond #093585	Cassandra Lee Morris/Ayana Taketatsu	Likes to trash about	ENFP	Exploration, Chronos, Humans	Expensive Items, Darkness, Fainting	Yellow and red spots are cyan.	79	120	79	100	79	80	144	Electric	Normal	Brave	United Scarf: Enhanced Coalition Scarf that boosts team attacks. ~ Counterfeit Scanner: Lookalike Items glow ~ Treasure Bag: Allows Teams to hold more than 3 items	Wild Charge (90/AT/Electric) 25% recoil ~ Volt Switch (70/SA/Electric) Switches with teammate ~ Thunder (110/SA/Electric) Can't miss in the rain ~ Flash (Normal) -1 AC to foe	Stun Grenade (100/SA/Electric) Causes Paralysis and Confusion to all foes	Guts: +1 AT if hit by status condition, immune to Burn	Synced Breathing: Teammates Crit more often the bigger the team is.	None	Strategic mastermind, her IQ allows her to come up with brilliant checkmates.	Requires someone to keep her safe while she thinks...	Friends: Lyra Chronos, Vega Chronos, Betelgeuse Chronos
Shinx Luxio Luxray	Male	Todd	Haberkorn	P49687393	30/01/1992	WOL, Water Continent	Electronics And Soldering	Homo	Sub	Switch	137	41	41	Stymie #3f888f	Jeffrey Rath/Nobuyuki Hiyama	Proud of its power	ENTJ	Wireless communication devices	Latency, Lag, Overclocking	Black fur is gray.	80	120	80	95	80	75	64	Electric	Ground	Modest	Electrium Z: Turns an Electric move into Gigavolt Havoc ~ X-Ray Specs: Lost Pokemon, Teammates, and Items glow through walls.	Wild Charge (90/AT/Electric) 25% recoil ~ Volt Switch (70/SA/Electric) Switches with teammate ~ Thunder (110/SA/Electric) Can't miss in the rain ~ Fury Cutter (40/AT/Bug) 2X damage for each successful hit	None	Intimidate: -1 AT to foe	Funnel Fun: Corridors restore HP faster.	None	Can either nuke once, or hit repeatedly and quickly.	Not the bulkiest cat.	
Shroomish Breloom	Male	Mac	Sandman	H77646414	17/02/1981																60	150	90	60	60	60	0	Grass Fighting	Ice	Brave	Choice Band: +1 AT, but can only use one move	Mach Punch (40/AT/Fighting) +1 Priority, never misses ~ Bullet Seed (25/AT/Fighting) Hits 2-5 times ~ Counter (Parry/Fighting) Returns 2X damage ~ Spore (Grass) Causes sleep	Dreamland Express (50/AT/Fighting) Hits 3 times, causes sleep	Technician: Moves below 60 power do 50% extra damage	Rapid Bullseye: Moves that hit multiple times will never miss. 	None	Let your guard down, and he'll send you to sleep with one punch.	Surprisingly slow, can't handle many foes at once.	
Skarmory	Male			P90251952	10/10/2004																70	70	150	40	80	80	0	Steel Flying	Water	Relaxed	Metal Coat: Boosts Steel moves	Steel Wing (70/AT/Steel) 10% chance +1 DF ~ Roost (Flying) Heals 50% HP, removes flying type ~ Defog (Flying) Removes weather and field hazards ~ Iron Head (80/AT/Steel) 30% Flinch chance	None	Sturdy: Survives any move with 1 HP	Squeeze Out: The whole team can squeeze extra PP once per battle.	None	Hot damn he's bulky.	Unless his foe is an electric type, fire type, special sweeper, taunt user...	
Skitty Delcatty	Female	Mocha	Otonanou	H50828121	08/03/2002	WOD, Japan, Kyushu, Nagasaki	Classified Package Delivery	Hetero	Sub	Bottom	99	27	40	Vibur #f80ea7	Ari Ozawa/Bonnie Gordon	Highly curious	INFP	Sex, Her Job, Sleeping	Fighting, Milk, Flygons	Yellow fur is pink.	70	70	70	96	69	88	23	Normal 	Water	Gentle	Soothe Bell: Makes Humans friendly	Calm Mind (Psychic) +1 SA and SD ~ Baton Pass (Normal) Switches with teammate, passes stats changes and effects ~ Psych Up (Normal) Copies foe's stat changes ~ Attract (Normal) Causes Infatuation to opposite gender	None	Wonder Skin: Dodges status moves 50% of the time	Shared Happiness: If a teammate's status condition is healed, it also heals the whole team's status conditions.	None	Brilliant sabotager, can take the foe's strengths and turn them into her team's.	Can't attack at all.	Rival: Doreikun Furai
Skitty Delcatty	Female	Eve	Ganden	P40918855	11/04/1971	WOL, Air Continent	Ganden Vice-Leader	Hetero	Switch	Bottom	109	31	32	Cambria #d5c496	Erica Mendez/Mariko Nagai	Nods off a lot	INTJ	Rescue Teams, Starters, Pichus	Being told what to do.	Purple fur can be either white or black.	200	75	75	55	55	95	154	Normal	Normal	Lonely	Glory Band: Enhanced Twist Band that prevents all stats from lowering. ~ Gummi Case: Holds Gummies ~ Rescue Toolbox: Allows Teams to hold more than 3 items	Blizzard (110/SA/Ice) 10% Freeze chance, never misses in hail ~ Sucker Punch (70/AT/Dark) Fails if foe isn't attacking, +1 Priority ~ Solar Beam (120/SA/Grass) 1 turn charge, no charge and no missing in Sunlight ~ Last Resort (140/AT/Normal) Fails unless all other moves are used	Good Night (Normal) Causes Sleep to all foes	Normalize: All moves are Normal type	Sales Pitch: The team can sell items at higher price.	Divided They Fall: Disables all foes's Enlightenments	Bulkier than she looks, cunning and deceptive with her moves, also a great strategist.	Doesn't like to get her claws dirty...	Husband: Adam Ganden ~ Friend: Awan Ganden
Sneasel Weavile	Female			P84435224	26/09/2007																70	130	60	40	80	130	0	Dark Ice	Grass	Bashful	Razor Claw: +3 Crit Chance if held by Weavile	Icicle Crash (85/AT/Ice) 30% Flinch chance ~ Ice Shard (50/AT/Ice) +1 Priority ~ Pursuit (40/AT/Dark) 2X damage if foe is fleeing or switching ~ Hone Claws (Dark) +1 AT, AC	None	Pickpocket: Steals item when hit by physical move	Lonely Courage: When a Pokémon has no nearby teammates, it gets very strong.	None	Solid power, solid speed, good type matchups	Status conditions and physical walls.	
Snivy Servine Serperior	Female	Nirvana	Moksha	H11647112	17/12/1995	WOD, France, Sarthe, Le Mans	Student at Académie de Nantes	Hetero	Sub	Bottom	363	77	128	Adamantium #149a83	Hellena Taylor/Aya Hisakawa	Very finicky	ISFJ	Scarves. Giratinas, Dubstep	Human Weapons, Bullying, Pretzels	Black backside, stripes glow green, magenta eyes, pale green belly.	75	75	95	113	95	75	162	Grass Dragon	Fire	Careful	Griseous Pendant: A vine necklace with a Griesous Orb shard as trinket, slightly boosts Dragon and Ghost type moves. ~ Soccermom Scarf: It's a scarf. ~ Big Root: Increases HP draining from moves	Tera Drain (80/SA/Grass) 80% health drain ~ Leaf Storm (130/SA/Grass) -2 SA ~ Substitute (Normal) Takes 1/4 HP to place a Substitute ~ Hidden Power (70/SA/???)	Tsar Bomba (999/SA/Normal) User faints	Contrary: Stat changes have an opposite effect.	Squeeze Out: The whole team can squeeze extra PP once per battle.	Fallout: Any foe hit by Nirvana is badly poisoned, and cannot heal from it.	Fallout and Contrary turn Nirvana into an untankable, radioactive menace.	Slow and frail, weak against other sweepers.	Friends: Matilde Quemar, Cefca Pagliaccio, Flaros Overfield
Snivy Servine Serperior	Female	Tsutami	Tengoku	P19246558	10/07/2005	WOL, Mist Continent	Tengoku Vice-Leader	Bi	Sub	Bottom	321	64	107	Libertinus Sans #67eb3a	Kayli Mills/Aki Toyosaki	Impetuous and silly	ENFJ	Samurotts, Post Town, Tengoku	Teams that don't help other Teams	Red eyes, green skin is more bluish, yellow spots are brighter.	75	75	100	75	95	110	138	Grass	Poison	Quirky	Hope Cape: Enhanced Reunion Cape that allows teleportation ~ Miracle Seed: Boosts Grass moves ~ Adventure Backpack: Allows Teams to hold more than 3 items	Hurricane Blade (25/AT/Grass) Hits 3 to 5 times ~ Safeguard (Normal) Prevents conditions for 5 turns ~ Solar Blade (125/AT/Grass) 1 turn charge, power changes from weather ~ Grass Pledge (80/SA/Grass) Special effect when used with other pledges	Taiyouken (400/AT/Grass) 1 turn charge, +1 Priority	Overgrow: Boosts Grass moves in a pinch	Friendly: Foes have a chance of temporarily fighting for the team. Doesn't boost recruit chance.	Paradigm Shift: Can swap moves with teammates	Training with the Hurricane Blade gives her an edge in the offensive.	Not very effective without Dairou and Susanoo.	Husband: Dairou Tengoku ~ Son: Tsutarou Tengoku ~ Friends: Susanoo Tengoku, Nezumi Tengoku, Senpuu Tengoku
Snivy Servine Serperior	Male	Tsutarou	Tengoku	P84561931	07/02/2020	WOL, Mist Continent	Evolution Researcher	Bi	Dom	Switch	372	79	88	Libertinus Math #058005	Edward Bosco/Tatsuhisa Suzuki	Quick to flee	ESFJ	Studying, Traveling, Writing	Evolving Too Fast, His Voice, Violence	Purple eyes, more vibrant colors, yellow spots are darker.	75	75	90	75	90	130	72	Grass	Ice	Mild	Pass Orb (85): Orbs that can be converted to Pass Powers from the Entralink	Leaf Storm (130/SA/Grass) -2 SA ~ Glare (Normal) Causes Paralysis ~ Grassy Terrain (Grass) 1.5x Grass damage, 7% HP heal each turn ~ Energy Ball (90/SA/Grass) 10% chance -1 SD to foe	None	Contrary: Stat changes have an opposite effect.	XP Boost: Grants additional XP to the team when a foe is defeated.	None	Smart and quick, can make you want to stop fighting him in seconds.	Not too interested in fighting, or even joining a team.	Mother: Tsutami Tengoku ~ Father: Dairou Tengoku
Solgaleo	Male	Lailona	Houkuu	P70104609	??/??/????	WOL, Mystery Continent	Ultra Wormhole Guard Leader	Hetero	Dom	Top	365	210	82	Leger #e8940f	Richard Epcar/Hidenari Ugaki	Takes plenty of siestas	ISTJ	Groudons, Necrozmas, Days	Lunalas, Space, Ultra Beasts	Yellow, orange, and red spots are magenta.	137	137	107	117	87	97	188	Psychic Steel Fire	Dark	Lonely	N-Lunarizer: A machine to separate a Necrozma from a Lunala. ~ Solgalium Z: Turns Sunsteel Strike into Searing Sunraze Smash ~ Sun Flute: +2 SP if held by Solgaleo	Sunsteel Strike (100/SA/Steel) Ignores abilities ~ Psyshock (80/SA/Psychic) Uses foe's DF instead of SD ~ Calm Mind (Psychic) +1 SA and SD ~ Solar Beam (120/SA/Grass) 1 turn charge, no charge and no missing in Sunlight	Solar Eclipse (Psychic) Requires Lunar Eclipse in same turn, Heals 50% HP per turn	Full Metal Body: Prevents stat debuffs	Collective Strike: All teammates have the same speed stat as the fastest teammate.	Radiant Sun: Form Change Enlightenment	Very powerful moveset, can easily ignore his subpar typing.	Could do better with a Lunala teammate, which he hates.	Sister: Peahina Houkuu ~ Friend: Cavum Nirum
Squirtle Wartortle Blastoise	Male			P16590598	21/06/2000																79	86	105	86	105	79	0	Water	Steel	Modest	Mystic Water: Boosts Water moves ~ Waterium Z: Turns a Water move into Hydro Vortex	Water Spout (150/SA/Water) Less power the lower the user's HP ~ Hydro Cannon (150/SA/Water) 1 turn recharge ~ Brine (65/SA/Water) 2X damage if foe has 50% HP or less ~ Water Pulse (60/SA/Water) 20% Confusion chance	None	Torrent: Boosts Water moves in a pinch	Steamroll: Ignores types and abilities lowering a move's damage.	Megaevolution: Form Change Enlightenment	A walking tank, not just in bulk, but in power.	Requires a team to keep him at full HP to be effective.	
Starly Staravia Staraptor	Female			P46517701	13/08/1980																100	120	70	50	60	100	0	Normal Flying	Water	Mild	Sharp Beak: Boosts Flying moves ~ Drag Wing: -1 AC and EV, +2 AT and SA	Double-Edge (120/AT/Normal) 33% Recoil ~ Final Gambit (Fighting) User faints, does damage equal to user's HP ~ Brave Bird (120/AT/Flying) 33% Recoil ~ Aerial Ace (60/AT/Flying) Never misses	None	Reckless: +30% damage to recoil moves	Recoil Boost: Moves that recoil do 2X damage.	None	LEEEROOOOOY, MMMNJEEENKIIINS	Faints immediately from her own move.	
Taillow Swellow	Male			P52274829	10/06/2002																60	90	60	80	50	130	0	Normal Flying	Dragon	Naive	Weather Band: Grants immunity to weather	Boomburst (140/SA/Normal) Hits all foes, fails if there's only 1 foe ~ Aerial Ace (60/AT/Flying) Never misses ~ Defog (Flying) Removes weather and field hazards ~ Twister (40/SA/Dragon) 20% flinch chance, never misses	None	Guts: +1 AT if hit by status condition, immune to Burn	Leave Half: A Big Apple, Perfect Apple, Max Elixir, or Reviver Seed leave behind an Apple, Max Ether, or Tiny Reviver Seed when used. 	None	Outspeeds even the nastiest sweepers, and can also be useful in extreme weather.	Priority Revenge sweepers, Steel types.	
Tepig Pignite Emboar	Male	Susanoo	Tengoku	P19152291	19/09/2002	WOL, Mist Continent	Tengoku Vice-Leader	Bi	Dom	Top	153	155	81	Libertinus Mono #b8470f	Reuben Langdon/Yuji Kishi	Proud of its power	INFJ	Dairou, Tsutami, Susanoo	Dairou, Tsutami, Susanoo	Darker red, red eyes, yellow spots are orange.	110	120	70	100	70	60	134	Fire	Dark	Hardy	Hope Cape: Enhanced Reunion Cape that allows teleportation ~ Charcoal: Boosts Fire moves ~ Adventure Backpack: Allows Teams to hold more than 3 items	Wildfire Blade (25/AT/Fire) Hits 3 to 5 times ~ Flare Blitz (120/AT/Fire) 33% recoil, 10% Burn Chance ~ Sucker Punch (70/AT/Dark) Fails if foe isn't attacking, +1 Priority ~ Fire Pledge (80/SA/Fire) Special effect when used with other pledges	Nobiken (400/AT/Fire) 1 turn charge, +1 Priority	Blaze: Boosts Fire moves in a pinch	Forge a Path: Consumes Belly to break down walls.	Paradigm Shift: Can swap moves with teammates	Training with the Wildfire Blade gives him an edge in the offensive.	Not very effective without Dairou and Tsutami.	"Rivals": Dairou Tengoku, Tsutami Tengoku ~ Friends: Nezumi Tengoku, Senpuu Tengoku
Terrakion	Male			P81530416	21/07/1988																90	130	90	70	90	105	0	Rock Fighting	Ground	Mild	Savior Cape: +1 DF and SD for each teammate wearing a Savior Cape	Sacred Sword (90/AT/Fighting) Ignores stat changes ~ Swords Dance (Normal) +2 AT ~ Stone Edge (100/AT/Rock) +1 Crit chance ~ Stealth Rock (Rock) Hurts foes on switch-in.	None	Justified: +1 AT if hit by Dark move	Squad Up: The bigger the team, the easier it becomes to recruit Pokemon.	None	Great wallbreaker, can also tank a few hits of his own.	REALLY weak to Doublades for some reason.	
Timburr Gurdurr Conkeldurr	Male			P63189135	30/07/1987																110	150	95	55	65	45	0	Fighting	Normal	Serious	Lagging Tail: Holder moves last	Drain Punch (75/AT/Fighting) Heals 50% damage ~ Dynamic Punch (100/AT/Fighting) Causes confusion, might miss ~ Hammer Arm (100/AT/Fighting) -1 SP ~ Superpower (120/AT/Fighting) -1 AT, DF	Great Pillar Smash (500/AT/Fighting) 3 turn recharge	Tekken: Punch based moves get +30% damage, except Sucker Punch	Thrown Item Boost: Items thrown from the team are uncatchable and do increased damage.	None	Horrifying power, as long as he's protected by a team he can end fights in seconds.	Ow, my back...	
Togepi Togetic Togekiss	Male			P66537143	13/11/1985																90	50	90	120	120	80	0	Fairy Flying	Dragon	Bashful	Lucky Egg: 2X XP	Heal Bell (Normal) Cures whole team's status conditions ~ Roost (Flying) Heals 50% HP, removes Flying type ~ Air Slash (75/SA/Flying) 30% Flinch chance ~ Charm (Fairy) -2 AT to foe	None	Hustle: +2 Crit chance, -1 AC	Evasive Rhythm: The team can dodge multi hit attacks much easier.	None	Great cleric, but can also hit on unsuspecting foes.	Type matchups, faster foes, paralysis.	
Torchic Combusken Blaziken	Female			P81863175	20/10/1994																80	130	70	100	70	80	0	Fire Fighting	Flying	Calm	Charcoal: Boosts Fire moves	Blaze Kick (85/AT/Fire) +1 Crit chance, 10% Burn chance ~ Blast Burn (150/SA/Fire) 1 turn recharge ~ Low Kick (AT/Fighting) Uses foe's weight for damage calculation ~ Flare Blitz (120/AT/Fire) 33% Recoil, 10% Burn chance	None	Speed Boost: +1 SP every turn	Recoil Boost: Moves that recoil do 2X damage.	Megaevolution: Form Change Enlightenment	Incredible mixed attacker when Megaevolved.	Priority users, most Water types.	
Totodile Croconaw Feraligatr	Male			P79066780	04/11/2001																85	110	100	80	85	80	0	Water	Electric	Quiet	Cell Battery: +1 AT if hit by Electric moves	Hydro Cannon (150/SA/Water) 1 turn recharge ~ Surf (90/SA/Water) Hits all foes, 2X damage on diving foes ~ Zap Cannon (120/SA/Electric) Causes Paralysis ~ Bolt Strike (130/AT/Electric) 20% Paralysis chance, might miss	None	Sheer Force: +30% Damage, removes all move effects	Squad Up: The bigger the team, the easier it becomes to recruit Pokemon.	None	Surprisingly good with Electric type moves, even without being a Delta type.	One of the laziest Feraligatr's in existence.	
Trapinch Vibrava Flygon	Male	Doreikun	Furai	P88855548	24/01/2005	WOL, Fire Continent	Unclassified Package Delivery	Homo	Sub	Bottom	162	60	21	Base Nine #07ee74	Paul Dobson/Hiroyuki Yoshino	Highly curious	ISFP	Sex, His Job, Flying	Bullying, Sand, Himself	Dark green spots are black, red parts are magenta.	85	95	85	95	85	85	92	Ground Dragon Bug	Flying	Sassy	Choice Specs: +1 SA, but can only use one move ~ Flygonium Z: Turns Fissure into Ancestral Sandsong	U-Turn (70/AT/Bug) Switches with teammate ~ Fissure (Ground) 30% OHKO Chance ~ Dragon Rush (100/AT/Dragon) 20% Flinch Chance ~ Boomburst (140/SA/Normal) Hits all foes, fails if there's only 1 foe	None	Levitate: Immune to Ground Type	Notorious Restoration: Items restore more HP and Belly.	None	If his Z-Move hits, it's pretty much over. IF it hits.	Gigantic coward, really hates fighting...	Rival: Mocha Otonanou ~ Crush: Nirvana Moksha
Treecko Grovyle Sceptile	Male			P38904369	08/11/1999																75	85	65	105	85	125	0	Grass	Fairy	Serious	Sneak Scarf: Nearby Pokemon don't wake up ~ Sceptilite: Triggers Megaevolution	Leaf Blade (90/AT/Grass) +1 Crit chance ~ Dual Chop (70/AT/Dragon) Hits 2 times, might miss ~ Dragon Pulse (85/SA/Dragon) ~ Giga Drain (75/SA/Grass) Heals 50% damage	Fate Defiance (Dragon) Reverses time up to 5 turns	Overgrow: Boosts Grass moves in a pinch	Hang In There: For each teammate with Insane, non-Insane teammates get a huge stat boost.	Megaevolution: Form Change Enlightenment	Great explorer, but also a great robber. Can be an invaluable asset...	...when he's friendly.	
Tropius	Male			P13527299	23/05/1996																99	70	88	70	88	55	0	Grass Flying	Bug	Gentle	Honey: Attracts Wild Pokemon ~ Miracle Seed: Boosts Grass moves	Substitute (Normal) -25% HP, places substitute ~ Air Slash (75/SA/Flying) 30% Flinch chance ~ Grass Knot (SA/Grass) Uses foe's weight for damage calculation ~ Seed Bomb (80/AT/Grass)	None	Harvest: Generates random berry each turn during Sunny Day	Food Finder: Tiny Apples spawn much more often.	None	Uh... can make some berries.	Sigh.	
